name,first,middle,last,format
Thomas Streicher,Thomas,,Streicher,0
Peter Lax,Peter,,Lax,0
Henritte Mller,Henritte,,Mller,0
Kaspar Simeonov,Kaspar,,Simeonov,0
Duan Majdn,Duan,,Majdn,0
Ionica Munteanu,Ionica,,Munteanu,0
Ivan Bordi,Ivan,,Bordi,0
Helmut Wieser,Helmut,,Wieser,0
Hilary Swank,Hilary,,Swank,0
Frantiek Schmucker,Frantiek,,Schmucker,0
Karl-Heinz Riedle,Karl-Heinz,,Riedle,0
John Napier,John,,Napier,0
Kazimierz Urbanik,Kazimierz,,Urbanik,0
Declan Lonergan,Declan,,Lonergan,0
Mohamed Bouchara,Mohamed,,Bouchara,0
Jaroslav Kantrek,Jaroslav,,Kantrek,0
Fyodor Zak,Fyodor,,Zak,0
Anton Perwein,Anton,,Perwein,0
Kim Sei-Young,Kim,,Sei-Young,0
Kazuto Doi,Kazuto,,Doi,0
Lee Moon-Kyu,Lee,,Moon-Kyu,0
Kevin Falls,Kevin,,Falls,0
Josh Singer,Josh,,Singer,0
Stefan Junge,Stefan,,Junge,0
Josephine Chanler,Josephine,,Chanler,0
Bradley Cooper,Bradley,,Cooper,0
Eli Maor,Eli,,Maor,0
Heather Juergensen,Heather,,Juergensen,0
Serge Roy,Serge,,Roy,0
Aurel Drgan,Aurel,,Drgan,0
Zhang Weina,Zhang,,Weina,0
Nikolay Umov,Nikolay,,Umov,0
George Owen,George,,Owen,0
Ayako Inada,Ayako,,Inada,0
Alf Lie,Alf,,Lie,0
Krzysztof Fikiel,Krzysztof,,Fikiel,0
James Gunn,James,,Gunn,0
Claudio Padoan,Claudio,,Padoan,0
Klaus Groh,Klaus,,Groh,0
Bergsveinn Bergsveinsson,Bergsveinn,,Bergsveinsson,0
John Malois,John,,Malois,0
Rolandas Jaseviius,Rolandas,,Jaseviius,0
Todd Alcott,Todd,,Alcott,0
Luc Besson,Luc,,Besson,0
Alfred Mauer,Alfred,,Mauer,0
Pascal Dubosquelle,Pascal,,Dubosquelle,0
